subj	hem	ax	roi	bin	clust	beta
NDAR_INVAE480UZD_01mo-20170920	left	ant	hippo	1	1	0.197628
NDAR_INVAE480UZD_01mo-20170920	left	ant	hippo	1	2	0.515722
NDAR_INVAE480UZD_01mo-20170920	left	ant	hippo	1	3	0.21523
NDAR_INVAE480UZD_01mo-20170920	left	ant	hippo	1	4	0.179095
NDAR_INVAE480UZD_01mo-20170920	left	ant	hippo	1	5	0.197479
NDAR_INVAE480UZD_01mo-20170920	left	post	hippo	1	1	0.220249
NDAR_INVAE480UZD_01mo-20170920	left	post	hippo	1	2	0.240556
NDAR_INVAE480UZD_01mo-20170920	left	post	hippo	1	3	0.154278
NDAR_INVAE480UZD_01mo-20170920	left	post	hippo	1	4	0.550919
NDAR_INVAE480UZD_01mo-20170920	left	post	hippo	1	5	0.337002
NDAR_INVAE480UZD_01mo-20170920	right	ant	hippo	1	1	0.675897
NDAR_INVAE480UZD_01mo-20170920	right	ant	hippo	1	2	0.133393
NDAR_INVAE480UZD_01mo-20170920	right	ant	hippo	1	3	0.0937378
NDAR_INVAE480UZD_01mo-20170920	right	ant	hippo	1	4	0.180056
NDAR_INVAE480UZD_01mo-20170920	right	ant	hippo	1	5	0.271115
NDAR_INVAE480UZD_01mo-20170920	right	post	hippo	1	1	0.36987
NDAR_INVAE480UZD_01mo-20170920	right	post	hippo	1	2	0.22777
NDAR_INVAE480UZD_01mo-20170920	right	post	hippo	1	3	0.0999561
NDAR_INVAE480UZD_01mo-20170920	right	post	hippo	1	4	0.299724
NDAR_INVAE480UZD_01mo-20170920	right	post	hippo	1	5	0.656772
NDAR_INVAJ325BRM_09mo-20160926	left	ant	hippo	2	1	0.299439
NDAR_INVAJ325BRM_09mo-20160926	left	ant	hippo	2	2	0.470006
NDAR_INVAJ325BRM_09mo-20160926	left	ant	hippo	2	3	0.417463
NDAR_INVAJ325BRM_09mo-20160926	left	ant	hippo	2	4	0.284022
NDAR_INVAJ325BRM_09mo-20160926	left	ant	hippo	2	5	0.145521
NDAR_INVAJ325BRM_09mo-20160926	left	post	hippo	2	1	0.292688
NDAR_INVAJ325BRM_09mo-20160926	left	post	hippo	2	2	0.269122
NDAR_INVAJ325BRM_09mo-20160926	left	post	hippo	2	3	0.11086
NDAR_INVAJ325BRM_09mo-20160926	left	post	hippo	2	4	0.342464
NDAR_INVAJ325BRM_09mo-20160926	left	post	hippo	2	5	0.160888
NDAR_INVAJ325BRM_09mo-20160926	right	ant	hippo	2	1	0.660542
NDAR_INVAJ325BRM_09mo-20160926	right	ant	hippo	2	2	0.327109
NDAR_INVAJ325BRM_09mo-20160926	right	ant	hippo	2	3	0.121063
NDAR_INVAJ325BRM_09mo-20160926	right	ant	hippo	2	4	0.230475
NDAR_INVAJ325BRM_09mo-20160926	right	ant	hippo	2	5	0.222188
NDAR_INVAJ325BRM_09mo-20160926	right	post	hippo	2	1	0.370274
NDAR_INVAJ325BRM_09mo-20160926	right	post	hippo	2	2	0.253464
NDAR_INVAJ325BRM_09mo-20160926	right	post	hippo	2	3	0.11665
NDAR_INVAJ325BRM_09mo-20160926	right	post	hippo	2	4	0.181238
NDAR_INVAJ325BRM_09mo-20160926	right	post	hippo	2	5	0.363635
NDAR_INVAN135ZVY_05mo-20150603	left	ant	hippo	1	1	0.152995
NDAR_INVAN135ZVY_05mo-20150603	left	ant	hippo	1	2	0.413503
NDAR_INVAN135ZVY_05mo-20150603	left	ant	hippo	1	3	0.187024
NDAR_INVAN135ZVY_05mo-20150603	left	ant	hippo	1	4	0.102767
NDAR_INVAN135ZVY_05mo-20150603	left	ant	hippo	1	5	0.050376
NDAR_INVAN135ZVY_05mo-20150603	left	post	hippo	1	1	0.117952
NDAR_INVAN135ZVY_05mo-20150603	left	post	hippo	1	2	0.0645515
NDAR_INVAN135ZVY_05mo-20150603	left	post	hippo	1	3	0.113946
NDAR_INVAN135ZVY_05mo-20150603	left	post	hippo	1	4	0.440362
NDAR_INVAN135ZVY_05mo-20150603	left	post	hippo	1	5	0.06376
NDAR_INVAN135ZVY_05mo-20150603	right	ant	hippo	1	1	0.73097
NDAR_INVAN135ZVY_05mo-20150603	right	ant	hippo	1	2	0.10415
NDAR_INVAN135ZVY_05mo-20150603	right	ant	hippo	1	3	0.0336085
NDAR_INVAN135ZVY_05mo-20150603	right	ant	hippo	1	4	0.123792
NDAR_INVAN135ZVY_05mo-20150603	right	ant	hippo	1	5	0.138042
NDAR_INVAN135ZVY_05mo-20150603	right	post	hippo	1	1	0.129391
NDAR_INVAN135ZVY_05mo-20150603	right	post	hippo	1	2	0.0130457
NDAR_INVAN135ZVY_05mo-20150603	right	post	hippo	1	3	0.0159002
NDAR_INVAN135ZVY_05mo-20150603	right	post	hippo	1	4	0.0885787
NDAR_INVAN135ZVY_05mo-20150603	right	post	hippo	1	5	0.480652
NDAR_INVAW189RHH_13mo-20170106	left	ant	hippo	3	1	0.246403
NDAR_INVAW189RHH_13mo-20170106	left	ant	hippo	3	2	0.533036
NDAR_INVAW189RHH_13mo-20170106	left	ant	hippo	3	3	0.298356
NDAR_INVAW189RHH_13mo-20170106	left	ant	hippo	3	4	0.388546
NDAR_INVAW189RHH_13mo-20170106	left	ant	hippo	3	5	0.233336
NDAR_INVAW189RHH_13mo-20170106	left	post	hippo	3	1	0.238984
NDAR_INVAW189RHH_13mo-20170106	left	post	hippo	3	2	0.328514
NDAR_INVAW189RHH_13mo-20170106	left	post	hippo	3	3	0.231104
NDAR_INVAW189RHH_13mo-20170106	left	post	hippo	3	4	0.495434
NDAR_INVAW189RHH_13mo-20170106	left	post	hippo	3	5	0.183075
NDAR_INVAW189RHH_13mo-20170106	right	ant	hippo	3	1	0.546509
NDAR_INVAW189RHH_13mo-20170106	right	ant	hippo	3	2	0.243468
NDAR_INVAW189RHH_13mo-20170106	right	ant	hippo	3	3	0.104853
NDAR_INVAW189RHH_13mo-20170106	right	ant	hippo	3	4	0.210976
NDAR_INVAW189RHH_13mo-20170106	right	ant	hippo	3	5	0.230311
NDAR_INVAW189RHH_13mo-20170106	right	post	hippo	3	1	0.277357
NDAR_INVAW189RHH_13mo-20170106	right	post	hippo	3	2	0.241199
NDAR_INVAW189RHH_13mo-20170106	right	post	hippo	3	3	0.148494
NDAR_INVAW189RHH_13mo-20170106	right	post	hippo	3	4	0.264407
